,sigmaritan,artistName,trackName,msPlayed,duration,minutes
0,marius_sclearuc,Godspeed You! Black Emperor,Storm,1303115,1352413.0,22.540216666666666
1,andreea_covalevschi,Buckethead,The Left Panel,1106050,1157700.0,19.295
2,elena_timbur,Franz Schubert,"6 Grandes Marches, Op. 40, D. 819: No. 5 in E-Flat Minor",869909,870120.0,14.502
3,nicolae_gherman,Richard Wagner,Tannhäuser: Overture,853826,853827.0,14.23045
4,vasile_papaluta,Fearless Motivation,Finding Your Purpose,821033,821034.0,13.6839
5,irina_tiora,Pink Floyd,"Shine On You Crazy Diamond, Pts. 1-5 - 2011 Remaster",735642,810293.0,13.504883333333334
6,arina_coroliuc,Johann Strauss II,"An der schönen blauen Donau, Op. 314",707173,707173.0,11.786216666666666
7,vladimir_stojoc,Oxxxymiron,КТО УБИЛ МАРКА?,567000,567001.0,9.450016666666667
8,alex_clefos,Black Sabbath,God Is Dead?,532266,532267.0,8.871116666666667
9,eduard_balamatiuc,Ed Sheeran,Give Me Love,526386,526387.0,8.773116666666667
10,vlada_pulbere,Justin Timberlake,Mirrors,484146,484147.0,8.069116666666666
11,marius_purici,Hans Zimmer,"Mermaids - From ""Pirates of the Caribbean: On Stranger Tides""/Score",483550,483480.0,8.058
12,denis_smocvin,Avicii,Dear Boy,474473,479333.0,7.988883333333333
13,nicolae_dubenco,Hi-Rez,Overdrive,431304,431304.0,7.1884
14,lavinia_spinu,Gesaffelstein,Viol,343878,343878.0,5.7313
